Day,Boksit,Izvestnyak,KoncentratZ,Okatysh,EmptyWagon,RudaZ,Ugol
28.12.2021 00:00:00,19851.4,12544.6,"","",18303,11991,51905.8
29.12.2021 00:00:00,14582.9,"","","",27808.4,5989,39107.3
30.12.2021 00:00:00,14890.8,6276.1,"","",19957,11987,51617.2
31.12.2021 00:00:00,14891.6,"","","",23128,6001,51926.3
01.01.2022 00:00:00,14862.4,12540.9,"","",18262,11973,58476.4
02.01.2022 00:00:00,19844.9,6268.7,"","",28168,5997,45063
03.01.2022 00:00:00,19847.7,6273.8,"","",19976,11983,64182.1
04.01.2022 00:00:00,14890.8,6273.9,"","",24974,11988,57920.1
05.01.2022 00:00:00,9923.9,6267.2,"","",19718,5992,38801.1
06.01.2022 00:00:00,14887.1,"","","",19754,5969,64456.9
07.01.2022 00:00:00,24811.9,6263.2,"","",23172,12003,45068.26
08.01.2022 00:00:00,9924.8,6292,"","",21481,5876,57916.3
09.01.2022 00:00:00,19851.6,6298,"","",19842,11989,57886
10.01.2022 00:00:00,14886.1,6258,"","",18186,5994,57925.7
11.01.2022 00:00:00,14795.1,6271.3,"","",19967,5971,44815.3
12.01.2022 00:00:00,19846.4,6266.9,"","",19939,11997,57937.9
13.01.2022 00:00:00,14890.3,6270.3,"","",20069,5988,58465.8
14.01.2022 00:00:00,19845.2,6268.4,"","",23340,5993,38459.5
15.01.2022 00:00:00,9926.6,6271.9,"","",16444,5918,50980.1
16.01.2022 00:00:00,19852.9,"","","",16783,"",38267.6
17.01.2022 00:00:00,9924,6271.5,"","",10121,11874,51956
18.01.2022 00:00:00,14878.6,6271.5,"","",16729,5975,31420.2
19.01.2022 00:00:00,14886.6,6267.3,"","",16717,5998,45585.6
20.01.2022 00:00:00,14892.6,6273.6,"","",16399,5976,51127.7
21.01.2022 00:00:00,14883.7,6271.2,"","",16543,5994,45200.8
22.01.2022 00:00:00,9926.9,6269.2,"","",16451,11980,57688.9
23.01.2022 00:00:00,"",6268.3,"","",18374,"",58279.5
24.01.2022 00:00:00,14885.6,"","","",16488,11976,57383.4
25.01.2022 00:00:00,9926.9,12542.9,"","",19729,6005,45380.6
26.01.2022 00:00:00,14885.5,"","","",21669,5983,45692.4
27.01.2022 00:00:00,14887.2,12541.3,"","",18224,5982,38809.9
28.01.2022 00:00:00,9928.5,"","","",18308,12001,38843.4
29.01.2022 00:00:00,14885.4,12538.9,"","",21798,11970,51386.5
30.01.2022 00:00:00,14888.2,6268.5,"","",20058,6003,45404.7
31.01.2022 00:00:00,4964,6270.7,"","",20019,5981,51711
01.02.2022 00:00:00,14887.6,6272.9,"","",18331,11986,57937.7
02.02.2022 00:00:00,9926.9,6271.9,"","",21563,11983,57942.6
03.02.2022 00:00:00,4963.9,"","","",21443,8940,57961.1
04.02.2022 00:00:00,14792.2,6271.4,"","",16689,11985,51968.5
05.02.2022 00:00:00,9924.4,12449.5,"","",21468,11891,50832.1
06.02.2022 00:00:00,14885.9,6167,"","",23509,5990,64531.8
07.02.2022 00:00:00,19851.6,"","","",19831,11979,64250.1
08.02.2022 00:00:00,14892,6272.2,"","",20133,11983,51395.2
09.02.2022 00:00:00,14889.3,6270.8,"","",19990,5995,51975.7
10.02.2022 00:00:00,14892,6269.3,"","",23236,11976,57968.9
11.02.2022 00:00:00,9924.6,6269.7,"","",19782,11986,39118.9
12.02.2022 00:00:00,19847.3,12543.5,"","",19850,"",64246.5
13.02.2022 00:00:00,14888.7,6270.9,"","",21416,11981,51685.2
14.02.2022 00:00:00,19850,6269.1,"","",19767,6002,64251.8
15.02.2022 00:00:00,9926.8,6270.9,"","",23099,11988,51367.6
16.02.2022 00:00:00,14781.9,"","","",14923,5993,64537.1
17.02.2022 00:00:00,24812.6,6268.7,"","",23218,6002,57841.5
18.02.2022 00:00:00,4965.1,6266.6,"","",18170,5977,44838.1
19.02.2022 00:00:00,19850.2,6270.4,"","",18195,11997,64502.8
20.02.2022 00:00:00,9924.6,6274.7,"","",23159,5988,51403.6
21.02.2022 00:00:00,14881.8,6274.4,"","",16536,11899,57957
22.02.2022 00:00:00,9930.6,6265.9,"","",24846,5981,51394.8
23.02.2022 00:00:00,19858.2,6270,"","",18035,5996,57945.6
24.02.2022 00:00:00,19851.7,6271.4,"","",19991,11991,51972.6
25.02.2022 00:00:00,14888.6,12541.2,"","",21568,5998,45417.6
26.02.2022 00:00:00,14887.8,6272.4,"","",19821,11996,45378
27.02.2022 00:00:00,24810.4,6273.5,"","",23303,5988.7,45418
28.02.2022 00:00:00,9926.3,6272.8,"","",20062,5997.8,51393.5
01.03.2022 00:00:00,14884.7,6268.4,"","",20259,11996.4,39114.4
02.03.2022 00:00:00,9925.9,6272.5,"","",11724,5980.7,19405.2
03.03.2022 00:00:00,14793.5,6271.6,"","",11647,12009,38549.2
04.03.2022 00:00:00,9928,6272.1,"","",18291,11971.3,45689.2
05.03.2022 00:00:00,4963.2,6268.7,"","",18228,6004.1,44816.5
06.03.2022 00:00:00,"",6277,"","",18352,11988.6,57407.7
07.03.2022 00:00:00,4869.4,6272.3,"","",18297,11983.5,45094.4
08.03.2022 00:00:00,19747.8,6268.8,"","",23106,6000.2,51974.6
09.03.2022 00:00:00,9924.8,6272.2,"","",15005,11982.1,57942.8
10.03.2022 00:00:00,14889,6178.2,"","",19801,5996.9,51403.1
11.03.2022 00:00:00,9922.6,6270.6,"","",19973,11991.1,51382
12.03.2022 00:00:00,19847.6,6139.9,"","",24827,11991.8,58015.9
13.03.2022 00:00:00,14888.9,6227.8,"","",21666,5997.2,58511.3
14.03.2022 00:00:00,14884.8,6270.5,"","",21344,11981.3,57670.4
15.03.2022 00:00:00,9926.4,6268.8,"","",21398,11997.2,64192.9
16.03.2022 00:00:00,14886.3,6272.3,"","",19890,5991.4,57967.4
17.03.2022 00:00:00,14883.9,6269.3,"","",21505,11988.8,51358
18.03.2022 00:00:00,9927.1,6267.2,"","",23183,11986.6,51682.5
19.03.2022 00:00:00,14895.2,6269.6,"","",21582,5991.1,64198.4
20.03.2022 00:00:00,4961.5,6271.9,"","",21521,11997.3,51373.6
21.03.2022 00:00:00,4961.2,6266.8,"","",23135,5999.2,45674.9
22.03.2022 00:00:00,14888.1,6276.6,"","",16581,11803.2,64206.2
23.03.2022 00:00:00,"",6271.5,"","",21502,11995.5,57949.1
24.03.2022 00:00:00,9921.4,6271.6,"","",21561,5987.2,57929.9
25.03.2022 00:00:00,14890,6273.7,"","",16510,6001.7,57955.2
26.03.2022 00:00:00,14888.6,"","","",23155,11991.4,58231.1
27.03.2022 00:00:00,14883.5,12541.6,"","",19927,11973.2,51393
28.03.2022 00:00:00,14886.3,6269.7,"","",23192,6001.8,51925.4
29.03.2022 00:00:00,14888.7,6271.1,"","",21498,5981.3,51955.8
30.03.2022 00:00:00,14886.3,6268.9,"","",18187,5891.9,45102.4
31.03.2022 00:00:00,19852.9,6271.4,"","",21477,11960.2,51930.46
01.04.2022 00:00:00,14884,6273.8,"","",19787.2,11983.9,39114.4
02.04.2022 00:00:00,9927.1,6268.1,"","",19880.6,5988.8,38531.6
03.04.2022 00:00:00,19854.8,12543.5,"","",18262.2,11991.3,64475.2
04.04.2022 00:00:00,4964.7,"","","",19998.5,11946.9,51657.4
05.04.2022 00:00:00,19851.9,6270.1,"","",19999.9,5995.9,44816.8
06.04.2022 00:00:00,9923.5,12541.6,"","",19601.9,5990.4,51668.8
07.04.2022 00:00:00,14886.9,"","","",18241.1,12002.2,57978.9
08.04.2022 00:00:00,9926.8,"","","",19970.2,5986.8,45068.9
09.04.2022 00:00:00,9929.7,"","","",19892,5989.1,51106.3
10.04.2022 00:00:00,9926.8,12544.5,"","",16689,6009.1,51642.6
11.04.2022 00:00:00,9927.7,12546.1,"","",18287,12003.6,38826.6
12.04.2022 00:00:00,14888,6276.3,"","",21622.9,"",63948.4
13.04.2022 00:00:00,14886.7,6272.4,"","",13212,5906.2,38534.8
14.04.2022 00:00:00,4961.6,"","","",18263.2,6001.8,51388.4
15.04.2022 00:00:00,14886.4,6272.8,"","",16550.3,5998,44824.1
16.04.2022 00:00:00,19853.8,12542.8,"","",21670,5981,45681.7
17.04.2022 00:00:00,14890.1,6267.8,"","",16712.6,6003.5,38844.6
18.04.2022 00:00:00,19848.9,6267.1,"","",19877,5999.9,51977.3
19.04.2022 00:00:00,9928.9,6267.8,"","",18290,5988.1,45390.5
20.04.2022 00:00:00,14887.4,6272,"","",16546,5981.4,39144.8
21.04.2022 00:00:00,24718.3,12540.2,"","",16525,6009,25737.7
22.04.2022 00:00:00,19852.8,6271.1,"","",20069,"",25979.5
23.04.2022 00:00:00,14892.4,12541.4,"","",14986,11987.6,58276.1
24.04.2022 00:00:00,19853,6271.6,"","",19925,"",39113.3
25.04.2022 00:00:00,14890.3,6273.6,"","",21664,11996,45382.6
26.04.2022 00:00:00,19851.5,6273.3,"","",20008,"",45413.6
27.04.2022 00:00:00,9927.9,6272.2,"","",18368,5966.7,39114
28.04.2022 00:00:00,9928.3,6270.9,"","",16594,5984.1,38639.7
29.04.2022 00:00:00,19852.5,6272.3,"","",18295.8,5984.3,51668.2
30.04.2022 00:00:00,19853,6272.6,"","",16534,6004,39123.5
01.05.2022 00:00:00,14887.7,6274.1,"","",21558,6002.2,51398.3
02.05.2022 00:00:00,29782.8,12548.2,"","",19896,5979.2,51398.9
03.05.2022 00:00:00,14894.3,6273.4,"","",15078,5990.7,38554.8
04.05.2022 00:00:00,14887.7,6270.3,"","",18376,6001.5,38817.9
05.05.2022 00:00:00,14887.2,6272.5,"","",19940,5997.4,51412.8
06.05.2022 00:00:00,14864.3,6271.4,"","",19907,5979,39098.4
07.05.2022 00:00:00,14893.7,"","","",16795,5995.4,51413.3
08.05.2022 00:00:00,14890.7,12541.8,"","",16560,6005.7,45303.3
09.05.2022 00:00:00,14892.2,"","","",21546,5984,51694.6
10.05.2022 00:00:00,4960.6,12541.3,"","",19894,6005.2,51397.1
11.05.2022 00:00:00,14890.2,6273.4,"","",16595,6005.5,38842.1
12.05.2022 00:00:00,19847.5,6274.9,"","",16663,6002.9,45398.2
13.05.2022 00:00:00,19852.4,6273.4,"","",20011,6005.1,51419.5
14.05.2022 00:00:00,14892,6276,"","",23261,12008.8,51380.7
15.05.2022 00:00:00,19849,6273.7,"","",19975,"",45423.4
16.05.2022 00:00:00,14889.6,6270.1,"","",19987,12012.2,51969.3
17.05.2022 00:00:00,19852.1,6273.6,"","",16646,6002.8,32550.1
18.05.2022 00:00:00,14896.1,"","","",19951,"",45421.5
19.05.2022 00:00:00,24812.6,12545.4,"","",13313,12012.6,51967.6
20.05.2022 00:00:00,14889.3,6272.7,"","",24947,5911.8,39150.6
21.05.2022 00:00:00,24814.3,6273.9,"","",20078,6006.4,39096.4
22.05.2022 00:00:00,19858.1,6270.4,"","",20021,6007,45141.9
